순위,키워드,빈도수
1,서비스,5658
2,글로벌,4194
3,코로나19,4110
4,에너지,3567
5,러시아,3349
6,우크라이나,3319
7,소비자,2678
8,아파트,2535
9,자동차,2366
10,전기차,2284
11,디지털,2205
12,반도체,2194
13,부동산,2172
14,일자리,1984
15,중소기업,1686
16,연구원,1591
17,삼성전자,1539
18,소상공인,1362
19,ESG,1328
20,배터리,1196
21,데이터,1040
22,스타트업,1012
23,확진자,932
24,바이오,914
25,현대차,912
26,경쟁력,889
27,모바일,861
28,스마트,834
29,포스코,797
30,원자재,792
31,코로나,775
32,메타버스,752
33,공급망,752
34,오미크론,733
35,대통령,726
36,편의점,724
37,인플레이션,711
38,English,663
39,보조금,657
40,ETF,639
41,갤럭시,625
42,NFT,623
43,경기도,599
44,리스크,598
45,근로자,571
46,공정위,571
47,디자인,551
48,자회사,550
49,하이닉스,532
50,진단키트,522
51,치료제,518
52,카카오,506
53,태양광,491
54,인프라,490
55,이마트,485
56,우크라이나_사태,478
57,농산물,477
58,보험료,470
59,테슬라,466
60,지원금,459
61,자영업자,457
62,의약품,453
63,백화점,441
64,SK하이닉스,427
65,LG에너지,421
66,플러스,420
67,SUV,419
68,제조업,418
69,화장품,415
70,스마트폰,406
71,LNG,404
72,IPO,403
73,차세대,402
74,청년희망적금,400
75,천연가스,394
76,부사장,385
77,대한항공,380
78,청년들,379
79,클라우드,375
80,LG전자,373
81,부총리,371
82,휘발유,366
83,신한금융,366
84,취업자,361
85,지주사,358
86,금리_인상,329
87,오피스텔,326
88,이재명,324
89,이사회,322
90,삼성증권,320
91,보증금,320
92,자가검사키트,318
93,모빌리티,314
94,임직원,311
95,한국은행,310
96,위원장,309
97,나스닥,309
98,텔레콤,305
99,제네시스,300
100,승용차,300
101,스포츠,296
102,네이버,294
103,플라스틱,291
104,빅데이터,289
105,베트남,289
106,비즈니스,287
107,울트라,284
108,상품권,284
109,항공사,283
110,유류세,282
111,식약처,281
112,신한은행,280
113,배당금,278
114,국제유가,278
115,연구소,277
116,금감원,275
117,비트코인,273
118,유플러스,272
119,우리은행,271
120,카카오뱅크,269
121,신한금융투자,260
122,R&D,259
123,소득세,258
124,금융위,258
125,블록체,257
126,올림픽,254
127,아시아나항공,254
128,소프트웨어,254
129,디스플레이,254
130,현대차그룹,253
131,인터넷,251
132,중기부,248
133,신세계,248
134,ICT,247
135,메모리,246
136,리테일,245
137,프랜차이즈,244
138,마스크,244
139,임대료,242
140,지자체,241
141,지정학,240
142,창업자,239
143,중진공,239
144,하이브리드,237
145,제일제당,235
146,이용자,235
147,SK텔레콤,235
148,신재생,231
149,성장세,231
150,과징금,230
151,하나은행,229
152,보험사,228
153,생산량,227
154,현대중공업,223
155,이노베이션,222
156,주유소,221
157,산업부,221
158,LG화학,221
159,가격_인상,220
160,장려금,219
161,오스템임플란트,219
162,쇼핑몰,218
163,국민은행,218
164,중고차,217
165,윤석열,217
166,금융당국,217
167,거래액,217
168,환경부,216
169,아이오닉,216
170,홈플러스,214
171,트렌드,214
172,탄소중립,214
173,전시회,214
174,홈페이지,213
175,프랑스,213
176,농업인,213
177,기업은행,213
178,국세청,211
179,폐기물,208
180,발전소,208
181,LG유플러스,208
182,크래프톤,207
183,중앙은행,207
184,카메라,206
185,운용사,206
186,MZ세대,206
187,하이트진로,205
188,재건축,205
189,부산시,205
190,ESG_경영,205
191,아시아,204
192,두산중공업,203
193,상승률,202
194,경쟁률,202
195,국토부,201
196,빅테크,200
197,한국투자증권,199
198,신혼부부,199
199,네트워크,199
200,BNK,199
